Timestamp,Do you use a music streaming service?,"If yes, which service(s) do you use?",How often do you use a music streaming service?(Hours a day),How many genres do you listen to?,What are the top 5 genres you listen to?,How many artists do you listen to?,What are the top 3 artists you listen to? (Please list them in order from most to least.),Do you listen to the songs that the streaming services recommend to you?,What is your gender?,What is your age? ,What is your ethnicity?
2019/03/25 6:48:33 PM AST,Yes,Spotify;Pandora,0 - 30 minutes,5,Classical;Country;Pop,4,"Cher, Shawn Mendes, Elton John",3,Female,65 +,White
2019/03/25 6:48:53 PM AST,Yes,Spotify;YouTube ,0 - 30 minutes,2,Country;Hip Hop,10,"Brantley Gilbert, Luke combs, Dylan scott",3,Female,18 - 24 years old,White
2019/03/25 6:49:16 PM AST,Yes,Amazon Music,1 - 2 hours,7,Alternative;Country;Hip Hop;Metal;Pop;RnB;Rock,10,,5,Female,18 - 24 years old,White
2019/03/25 7:09:47 PM AST,Yes,Amazon Music,30 - 60 minutes,2,Alternative;Pop,10,"Twenty one pilots, Taylor Swift, bastille ",4,Female,18 - 24 years old,White
2019/03/25 8:13:40 PM AST,Yes,Spotify;Amazon Music,1 - 2 hours,5,Country;Hip Hop;Rock,10,"Justin Moore, Upchurch, Aaron Lewis",4,Male,18 - 24 years old,White
2019/03/25 8:29:32 PM AST,Yes,Apple Music,30 - 60 minutes,4,Alternative;Country;Pop;Rock,10,"Queen, twenty one pilots, issues",3,Female,25 - 34 years old,White
2019/03/25 9:07:05 PM AST,Yes,Amazon Music,2 - 4 hours,5,Blues;Country;Hip Hop;Pop;Rock,10,"Lady Gaga, Neil Diamond, Bruno Mars",1,Female,45 - 54 years old,White
2019/03/25 9:22:16 PM AST,Yes,Pandora;Apple Music,2 - 4 hours,7,Alternative;Folk Rock;Hip Hop;Indie;Pop;Reggae;Rock,10," The Lumineers, Mumford and Sons, Queen",2,Female,35 - 44 years old,White
2019/03/25 9:56:54 PM AST,Yes,Spotify;Pandora;Apple Music,2 - 4 hours,5,Alternative;Classical;Country;Folk Rock;Rock,10,"U2, Aerosmith, Imagine Dragons",4,Male,18 - 24 years old,White
2019/03/25 10:04:36 PM AST,Yes,Spotify;Pandora;Soundcloud,2 - 4 hours,10,Country;Hip Hop;Indie;Pop;Rock,10,"The Neighborhood, Xxxtentacion, Billie Eilish",3,Female,18 - 24 years old,White
2019/03/25 10:04:55 PM AST,Yes,Spotify,30 - 60 minutes,7,Alternative;Blues;Indie;Pop;Rock,10,"Hamilton, , ",5,Female,18 - 24 years old,White
2019/03/26 8:56:53 AM AST,Yes,Apple Music,1 - 2 hours,4,Hip Hop;Pop;RnB;Rock,10,"Ariana Grande, J. Cole,  Chance the Rapper",2,Female,18 - 24 years old,White
2019/03/26 9:48:26 AM AST,Yes,iheart radio ,5 or more hours,6,Alternative;Country;Hip Hop;Metal;RnB;Rock,5,"Not really any paticular..just play stations while at work, , ",4,Female,35 - 44 years old,White
2019/03/26 10:41:57 AM AST,Yes,Pandora;Apple Music,0 - 30 minutes,5,Alternative;Country;Metal;Pop;Rock,10,"Pink, 30 seconds to Mars, Evans Blue",4,Female,45 - 54 years old,White
2019/03/26 11:31:37 AM AST,Yes,Pandora;Amazon Music,0 - 30 minutes,6,Country;Pop;RnB;Rock;Christian,10,"Mgk, nickleback, BsB",4,Female,25 - 34 years old,Asian or Pacific Islander
2019/03/26 4:17:33 PM AST,Yes,Pandora;Amazon Music,0 - 30 minutes,5,Alternative;Classical;Country;Jazz;Metal;Rock,10,"Waylon Jennings, Amy Winehouse, Slaughter",3,Male,35 - 44 years old,White
2019/03/26 7:05:45 PM AST,Yes,Apple Music,1 - 2 hours,10,Country;Folk Rock;Hip Hop;Pop;Rock,10,"Eric church, brad paisley, bob seger",3,Female,18 - 24 years old,White
2019/03/26 9:29:41 PM AST,Yes,Pandora;Soundcloud;Nhac cua tui,1 - 2 hours,4,Classical;Hip Hop;Pop;RnB,7,"Son tung, khalid, justatee",3,Female,25 - 34 years old,Asian or Pacific Islander
2019/03/26 9:40:37 PM AST,Yes,Spotify;Google Play,5 or more hours,3,Alternative;Hip Hop;Pop;RnB;Rock,3,,3,Female,25 - 34 years old,Asian or Pacific Islander
2019/03/26 9:46:13 PM AST,Yes,Spotify;Pandora;Apple Music;Google Play,0 - 30 minutes,2,Hip Hop;Pop,5,"Hailey steinfield, Bebe rexha, Maroon 5",3,Female,25 - 34 years old,Asian or Pacific Islander
2019/03/26 9:49:38 PM AST,Yes,Spotify;Pandora,1 - 2 hours,5,Alternative;EDM;Hip Hop;Pop;RnB,5,"Kygo, Kendrick Lamar, Khalid",4,Male,25 - 34 years old,Asian or Pacific Islander
2019/03/26 9:51:47 PM AST,Yes,Spotify,1 - 2 hours,2,Hip Hop;Indie;Pop,5,"Post Malone, Logic, Amine",4,Male,18 - 24 years old,Asian or Pacific Islander
2019/03/26 9:54:21 PM AST,Yes,Spotify;Pandora,0 - 30 minutes,4,Alternative;Hip Hop;Pop;RnB,10,"AJR, All american rejects, Panic! At The Disco",3,Female,18 - 24 years old,White
2019/03/26 10:15:53 PM AST,Yes,Spotify;Soundcloud,2 - 4 hours,4,"EDM;Hip Hop;RnB;Io-fi, trap",10,"Yetep, A$AP Ferg, Joji",2,Male,18 - 24 years old,Asian or Pacific Islander
2019/03/27 2:28:52 AM AST,Yes,Apple Music;Soundcloud,5 or more hours,4,Alternative;EDM;Folk Rock;Indie;Rock,10,,4,Female,18 - 24 years old,White
2019/03/27 11:50:42 AM AST,Yes,Spotify,30 - 60 minutes,10,"EDM;Hip Hop;Pop;RnB;Kpop, pop rock",10,"Exo, bts, all time low",4,Female,25 - 34 years old,Asian or Pacific Islander
2019/03/27 12:26:24 PM AST,Yes,Spotify;Pandora,2 - 4 hours,10,Alternative;Country;Indie;Metal;Rock,10,"Zac Brown Band, Disturbed, Mumford and Sons ",2,Female,25 - 34 years old,White
2019/03/27 12:26:41 PM AST,No,,0 - 30 minutes,8,Alternative;Folk Rock;Metal;Pop;Reggae,10,,1,Male,18 - 24 years old,White
2019/03/27 12:30:33 PM AST,Yes,YouTube ,5 or more hours,10,Classical;EDM;Hip Hop;Pop;Reggae,10,"Stefflon Don, yiruma, rihanna",4,Female,25 - 34 years old,Asian or Pacific Islander
2019/03/27 1:14:58 PM AST,Yes,Spotify;Youtube,5 or more hours,10,Alternative;EDM;Folk Rock;Indie;Industrial/EBM,10,"VNV Nation, Above & Beyond, Streetlight Manifesto",4,Male,25 - 34 years old,White
2019/03/27 1:19:08 PM AST,Yes,Youtube music,2 - 4 hours,2,EDM;Hip Hop;Indie;Pop;Kpop lol,10,"Migos, eminem, imagine dragons",3,Male,18 - 24 years old,Asian or Pacific Islander
2019/03/27 1:29:58 PM AST,Yes,Spotify;Apple Music;Soundcloud,2 - 4 hours,6,Alternative;EDM;Hip Hop;Pop;RnB;lofi ,10,"Khalid, 21 Savage, Amine",5,Male,18 - 24 years old,Asian or Pacific Islander
2019/03/27 1:32:26 PM AST,Yes,Soundcloud,1 - 2 hours,6,Alternative;EDM;Hip Hop;Pop;RnB;Rock,10,"dimitri vegas, yellowclaw, zedd",5,Male,18 - 24 years old,Asian or Pacific Islander
2019/03/27 1:49:37 PM AST,Yes,Spotify,2 - 4 hours,5,EDM;Hip Hop;Pop;RnB;Rock,10,"Billie Eilish, Khalid, Justin Bieber",3,Male,18 - 24 years old,Asian or Pacific Islander
2019/03/27 1:58:07 PM AST,Yes,Apple Music,30 - 60 minutes,4,Alternative;Blues;EDM;Jazz;Rock,10,,4,Male,18 - 24 years old,Asian or Pacific Islander
2019/03/27 2:30:23 PM AST,Yes,Spotify,2 - 4 hours,4,EDM;Hip Hop;Pop;RnB,10,"Alan walker, J.Fla,  Lennon Stella",2,Male,18 - 24 years old,Asian or Pacific Islander
2019/03/27 2:36:15 PM AST,No,Spotify;Apple Music,5 or more hours,6,"EDM;Hip Hop;Pop;Trap,Kpop,lo-fi",10,"BTS,Death Rhym3,K.Solis",4,Male,18 - 24 years old,Asian or Pacific Islander
2019/03/27 2:38:58 PM AST,Yes,Spotify;Soundcloud;Amazon Music;Google Play,5 or more hours,10,Alternative;EDM;Hip Hop;Jazz;Pop;Reggae;RnB;Rock;Kpop,10,"SZA, H.E.R., Dean",3,Female,18 - 24 years old,Asian or Pacific Islander
2019/03/27 2:40:06 PM AST,Yes,Spotify;Apple Music;Soundcloud,5 or more hours,5,EDM;Hip Hop;Pop;RnB;K-pop,10,"BTS, Taeyeon, Troye Sivan",5,Female,18 - 24 years old,Asian or Pacific Islander
2019/03/27 2:42:58 PM AST,Yes,Spotify;Soundcloud,5 or more hours,3,EDM;Hip Hop;Indie;Pop;RnB;Kpop,1,"EXO, , ",1,Female,18 - 24 years old,Asian or Pacific Islander
2019/03/27 2:56:30 PM AST,Yes,Spotify;Apple Music;Soundcloud;Amazon Music;Google Play,5 or more hours,7,Alternative;EDM;Hip Hop;Indie;Pop;Reggae;RnB,10,"Billie Eilish, BTS, Kang Gary",3,Female,18 - 24 years old,Asian or Pacific Islander
